#;Country,Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious,Critical;Tot Cases/1M pop;Deaths/1M pop;Total Tests;Tests/1M pop;Population;Continent
1;USA;81154960;39254;993044;1022;55757373;157198;24404543;4604;242776;2971;963805880;2883239;334278850;North America
2;India;42987875;3614;515833;88;42431513;5185;40529;8944;30642;368;776894810;553777;1402902454;Asia
3;Brazil;29305114;55211;654612;465;27556598;0;1093904;8318;136233;3043;63776166;296482;215109695;South America
4;France;23381279;72399;140029;149;22087946;76531;1153304;1928;356872;2137;246629975;3764348;65517319;Europe
5;UK;19530485;72828;162738;114;18229317;46835;1138430;253;285167;2376;489876300;7152739;68487936;Europe
6;Russia;17242043;50743;359585;674;15194927;151210;1687531;2300;118064;2462;273400000;1872089;146040091;Europe
7;Germany;16881948;245342;125911;242;13153300;189500;3602737;2494;200412;1495;104701826;1242956;84236156;Europe
8;Turkey;14513774;25401;96217;123;14065761;52269;351796;975;169019;1120;147898704;1722343;85870645;Asia
9;Italy;13268459;53127;156649;156;12135331;48481;976479;545;219998;2597;191812811;3180356;60311750;Europe
10;Spain;11223974;19849;101135;58;10294394;40187;828445;689;239904;2162;471036328;10068031;46785347;Europe
11;Argentina;8967210;5615;127051;42;8762697;4588;77462;759;195382;2768;34739380;756920;45895724;South America
12;Iran;7117544;3953;138692;120;6768271;6379;210581;3069;82948;1616;48108485;560658;85807110;Asia
13;Netherlands;7055814;69186;21688;13;5414900;86497;1619226;162;410249;1261;21107399;1227255;17198870;Europe
14;Colombia;6075656;782;139255;35;5906638;1079;29763;342;117295;2688;33481801;646390;51798170;South America
15;Indonesia;5864010;16110;151703;290;5335846;39212;376461;2771;21063;545;88766749;318841;278404860;Asia
16;S. Korea;5822626;282976;9875;229;N/A;N/A;N/A;1116;113405;192;15804065;307809;51343665;Asia
17;Poland;5799993;11634;113307;121;5169557;8599;517129;523;153534;2999;34438732;911641;37776640;Europe
18;Japan;5609096;62825;25697;211;4971301;60018;612098;1252;44579;204;40655716;323119;125822893;Asia
19;Mexico;5591871;8098;320607;197;4880174;16798;391090;4798;42615;2443;15308764;116666;131218882;North America
20;Vietnam;5448935;169114;41228;71;2983222;74857;2424485;3990;55142;417;81001418;819714;98816731;Asia
21;Ukraine;4894331;5858;106985;86;N/A;N/A;N/A;177;113058;2471;19521252;450939;43290255;Europe
22;Malaysia;3774786;32800;33643;76;3418443;24444;322700;380;114160;1017;51833725;1567595;33065773;Asia
23;Israel;3707477;3361;10359;1;3652205;10593;44913;388;397542;1111;41373364;4436346;9326000;Asia
24;South Africa;3691962;1671;99709;28;3572534;776;19719;546;60953;1646;23365475;385756;60570545;Africa
25;Czechia;3670406;8238;39121;21;3554692;13941;76593;129;341671;3642;53015282;4935089;10742517;Europe
26;Philippines;3669522;0;57317;0;3565090;0;47115;289;32751;512;28479926;254189;112042205;Asia
27;Belgium;3629671;9409;30380;26;3333536;19016;265755;192;310899;2602;32069513;2746910;11674761;Europe
28;Australia;3535620;34886;5549;29;3268084;17900;261987;101;135990;213;64450382;2478939;25999181;Australia/Oceania
29;Peru;3534687;3612;211423;59;N/A;N/A;N/A;683;104741;6265;27851471;825305;33746874;South America
30;Portugal;3380263;0;21285;0;2876177;0;482801;70;333145;2098;37805639;3725970;10146522;Europe
31;Canada;3357009;6175;36855;48;3207481;6663;112673;552;87649;962;58655426;1531447;38300662;North America
32;Chile;3269062;18326;43659;132;2424006;34553;801397;1000;168568;2251;33911987;1748658;19393151;South America
33;Thailand;3136649;24792;23578;63;2890076;22065;222995;687;44748;336;17270775;246389;70095625;Asia
34;Austria;3071402;49323;15163;27;2697610;26217;358629;176;337771;1668;165347447;18183763;9093137;Europe
35;Switzerland;3058800;18374;13366;2;2474544;27064;570890;142;349120;1526;19259669;2198229;8761449;Europe
36;Denmark;2796420;13036;5076;27;2580989;21471;210355;28;479938;871;126206869;21660347;5826632;Europe
37;Romania;2787625;2974;64288;48;2606660;0;116677;608;146555;3380;21498489;1130246;19021069;Europe
38;Greece;2604626;21260;26473;49;2378977;8156;199176;361;251968;2561;68688765;6644869;10337114;Europe
39;Sweden;2466577;0;17765;0;2372096;15776;76716;47;241690;1741;18297871;1792932;10205557;Europe
40;Iraq;2311926;688;25094;4;2263685;1563;23147;90;55382;601;18127495;434246;41744767;Asia
41;Bangladesh;1949055;257;29105;5;1857648;2399;62302;1264;11639;174;13614188;81299;167458473;Asia
42;Serbia;1937183;2230;15552;19;1872063;4462;49568;75;223230;1792;8904881;1026149;8677963;Europe
43;Hungary;1814362;2068;44653;50;1650643;4606;119066;109;188624;4642;10921558;1135422;9618944;Europe
44;Jordan;1654677;0;13882;0;1572386;0;68409;694;159501;1338;16319298;1573084;10374081;Asia
45;Georgia;1633443;1543;16505;20;1581376;3198;35562;0;410801;4151;16053104;4037256;3976241;Asia
46;Slovakia;1556433;9923;18847;30;1402729;12798;134857;206;284847;3449;6578659;1203977;5464106;Europe
47;Pakistan;1517512;723;30298;7;1469405;956;17809;677;6652;133;26825303;117589;228127539;Asia
48;Norway;1346777;5614;1753;0;88952;0;1256072;23;245190;319;9852076;1793638;5492789;Europe
49;Ireland;1341826;9125;6611;21;1223949;5665;111266;37;266719;1314;11510702;2288015;5030869;Europe
50;Kazakhstan;1304220;119;13642;3;1279441;1032;11137;528;68085;712;11575012;604259;19155723;Asia
51;Morocco;1161980;55;16034;1;1144938;205;1008;293;30864;426;11237010;298469;37648856;Africa
52;Bulgaria;1111216;1635;36069;41;875759;4453;199388;345;161981;5258;9354689;1363627;6860154;Europe
53;Lebanon;1083351;932;10193;8;982902;8480;90256;186;159931;1505;4795578;707954;6773851;Asia
54;Cuba;1075616;586;8503;1;1064627;483;2486;23;95062;751;12920253;1141875;11314946;North America
55;Croatia;1070855;1538;15308;14;1045532;1764;10015;57;263593;3768;4573949;1125886;4062533;Europe
56;Tunisia;1020546;2099;28018;9;979949;1161;12579;113;84852;2330;4432295;368519;12027325;Africa
57;Nepal;977848;62;11950;1;960686;189;5212;100;32572;398;5475202;182380;30020893;Asia
58;Lithuania;956648;5302;8605;4;871253;9092;76790;74;359888;3237;7875623;2962788;2658180;Europe
59;Belarus;937583;1899;6633;15;928536;0;2414;0;99277;702;12601257;1334303;9444076;Europe
60;Singapore;917103;15345;1129;13;859317;21481;56657;23;154707;190;23315251;3933073;5927999;Asia
61;Slovenia;914455;2249;6398;8;883016;1922;25041;77;439764;3077;2586209;1243717;2079420;Europe
62;Bolivia;896744;429;21472;2;804502;1181;70770;220;75093;1798;2682016;224592;11941706;South America
63;UAE;884736;382;2302;0;847788;1093;34646;0;87667;228;141879002;14058479;10092059;Asia
64;Uruguay;862153;1490;7083;8;844434;2180;10636;83;246749;2027;5801596;1660421;3494051;South America
65;Ecuador;843760;0;35316;0;N/A;N/A;N/A;759;46629;1952;2470170;136511;18095088;South America
66;Costa Rica;822935;1122;8160;11;718278;385;96497;98;159094;1578;3801529;734932;5172627;North America
67;Guatemala;802744;2341;17139;12;757609;3836;27996;5;43451;928;4057394;219620;18474637;North America
68;Azerbaijan;790378;225;9589;14;778543;583;2246;0;76785;932;6622919;643413;10293419;Asia
69;Panama;759224;301;8131;3;748028;299;3065;26;171407;1836;5582962;1260442;4429367;North America
70;Saudi Arabia;748489;178;9016;2;730038;377;9435;330;20949;252;41197847;1153076;35728651;Asia
71;Finland;734262;21159;2653;80;46000;0;685609;36;132174;478;10113235;1820483;5555249;Europe
72;Latvia;733084;6216;5411;14;628869;10020;98804;45;396048;2923;6885924;3720110;1851000;Europe
73;Sri Lanka;655383;467;16381;7;618697;81;20305;0;30391;760;6368159;295303;21564799;Asia
74;Hong Kong;646700;29281;3444;294;13232;0;630024;76;85096;453;36260319;4771322;7599638;Asia
75;Paraguay;645655;272;18522;5;618923;721;8210;86;88684;2544;2554263;350842;7280387;South America
76;Kuwait;625202;280;2549;0;618194;560;4459;17;142834;582;7763313;1773605;4377137;Asia
77;Myanmar;604219;956;19403;2;555290;1399;29526;0;10981;353;7354769;133661;55025456;Asia
78;Palestine;579548;200;5306;1;569179;632;5063;71;109320;1001;3078533;580701;5301411;Asia
79;Dominican Republic;576367;147;4374;2;571656;317;337;29;52247;397;3158390;286306;11031502;North America
80;Bahrain;535065;1317;1462;0;518158;1840;15445;9;297051;812;9490280;5268698;1801257;Asia
81;Estonia;527902;2156;2337;10;423051;2014;102514;25;397504;1760;3166482;2384325;1328041;Europe
82;Venezuela;517999;279;5656;1;508885;194;3458;230;18304;200;3359014;118693;28299936;South America
83;Moldova;507028;347;11333;14;488198;1547;7497;91;126185;2820;3075370;765372;4018137;Europe
84;Libya;499767;302;6336;10;481778;819;11653;123;71101;901;2451379;348754;7028959;Africa
85;Egypt;495373;854;24277;8;424831;733;46265;122;4691;230;3693367;34978;105590369;Africa
86;Ethiopia;469153;19;7484;0;421433;22;40236;53;3917;62;4559980;38074;119765656;Africa
87;Mongolia;466642;219;2177;0;313256;0;151209;192;138578;647;4030048;1196797;3367362;Asia
88;Armenia;421842;128;8568;5;407933;350;5341;0;141910;2882;2930081;985699;2972592;Asia
89;Honduras;414714;0;10812;0;129792;0;274110;105;40777;1063;1263329;124216;10170392;North America
90;Oman;386003;0;4250;0;377476;0;4277;29;72480;798;25000000;4694282;5325628;Asia
91;Bosnia and Herzegovina;373105;143;15614;4;192218;0;165273;0;114930;4810;1725264;531444;3246372;Europe
92;Qatar;358946;125;674;2;356884;307;1388;0;127839;240;3391376;1207839;2807805;Asia
93;Cyprus;347876;3020;895;6;124370;0;222611;60;284632;732;9477138;7754201;1222194;Asia
94;New Zealand;328836;21033;91;0;118883;19895;209862;0;65740;18;6830787;1365584;5002100;Australia/Oceania
95;Kenya;323160;20;5644;0;317467;4;49;1;5795;101;3429326;61492;55768960;Africa
96;Zambia;314986;136;3960;0;309336;279;1690;3;16361;206;3305230;171682;19252003;Africa
97;Réunion;310181;0;680;0;298082;0;11419;41;342327;750;1498366;1653650;906096;Africa
98;North Macedonia;301016;302;9123;6;289847;315;2046;0;144495;4379;1904444;914178;2083230;Europe
99;Albania;272552;73;3485;1;268093;217;974;13;94883;1213;1758227;612091;2872493;Europe
100;Algeria;265391;25;6861;0;178008;31;80522;13;5873;152;230861;5109;45186873;Africa
101;Botswana;263950;0;2619;0;259434;0;1897;1;108545;1077;2026898;833525;2431719;Africa
102;Nigeria;254894;0;3142;0;249326;0;2426;11;1187;15;4519905;21047;214755312;Africa
103;Zimbabwe;242069;521;5412;4;231438;426;5219;12;15896;355;2128873;139800;15227999;Africa
104;Uzbekistan;237129;70;1637;0;234447;87;1045;23;6916;48;1377915;40187;34287662;Asia
105;Montenegro;231391;78;2692;0;227870;135;829;60;368340;4285;1185660;1887393;628200;Europe
106;Mozambique;225165;3;2198;0;221955;13;1012;13;6879;67;1282207;39173;32731811;Africa
107;Kyrgyzstan;200707;16;2971;1;195786;25;1950;131;29930;443;1907195;284410;6705798;Asia
108;Luxembourg;191964;958;1004;0;180078;823;10882;4;298470;1561;4099088;6373357;643160;Europe
109;Afghanistan;175981;88;7640;1;158307;23;10034;1124;4355;189;902544;22336;40406958;Asia
110;Maldives;174163;172;297;0;159621;234;14245;25;312902;534;2210061;3970609;556605;Asia
111;Uganda;163462;16;3594;1;100108;11;59760;11;3393;75;2494741;51784;48176005;Africa
112;Ghana;160693;12;1445;0;159079;35;169;1;4996;45;2365638;73542;32166969;Africa
113;Iceland;158533;2656;79;2;75685;0;82769;4;459541;229;1820155;5276102;344981;Europe
114;Namibia;157366;0;4014;0;153069;0;283;1;60097;1533;964061;368168;2618533;Africa
115;El Salvador;156364;0;4095;1;132410;0;19859;153;23904;626;1758939;268891;6541447;North America
116;Laos;145507;413;640;3;7660;0;137207;0;19521;86;1002806;134538;7453701;Asia
117;Cambodia;133738;237;3045;1;128300;305;2393;0;7817;178;2892129;169037;17109398;Asia
118;Trinidad and Tobago;132383;543;3676;3;108546;0;20161;18;94080;2612;647371;460062;1407138;North America
119;Guadeloupe;130705;0;843;0;2250;0;127612;19;326567;2106;938039;2343697;400239;North America
120;Rwanda;129589;13;1458;0;45522;0;82609;0;9604;108;4959057;367511;13493643;Africa
121;Jamaica;128318;45;2839;2;79233;139;46246;25;43017;952;875832;293609;2982983;North America
122;Martinique;126221;0;900;0;104;0;125217;10;336792;2401;738299;1969985;374774;North America
123;Cameroon;119322;0;1926;0;117263;0;133;13;4314;70;1751774;63332;27660153;Africa
124;China;112940;555;4636;0;103280;141;5024;6;78;3;160000000;111163;1439323776;Asia
125;Brunei ;106936;2914;158;2;68764;4683;38014;0;240549;355;717784;1614634;444549;Asia
126;Angola;98855;0;1900;0;96817;0;138;0;2858;55;1453019;42007;34589663;Africa
127;DRC;86315;25;1335;0;50930;0;34050;0;917;14;846704;8993;94151466;Africa
128;Senegal;85785;3;1964;2;83768;7;53;1;4905;112;1025172;58622;17487927;Africa
129;Malawi;85486;10;2620;0;76642;95;6224;67;4282;131;552610;27681;19963487;Africa
130;Ivory Coast;81577;6;795;0;80623;47;159;0;2969;29;1439716;52392;27479781;Africa
131;Suriname;78705;51;1319;0;49365;1;28021;1;132166;2215;231838;389315;595503;South America
132;French Guiana;78075;50;394;0;11254;0;66427;4;250452;1264;602022;1931192;311736;South America
133;Malta;72560;139;613;0;70386;68;1561;4;163597;1382;1211456;2731408;443528;Europe
134;French Polynesia;70158;0;643;0;N/A;N/A;N/A;7;247341;2267;0;0;283649;Australia/Oceania
135;Eswatini;69408;29;1392;0;67932;56;84;11;58799;1179;485322;411138;1180437;Africa
136;Fiji;64067;5;834;0;62218;10;1015;0;70604;919;502044;553272;907409;Australia/Oceania
137;Madagascar;63791;0;1373;0;59002;0;3416;26;2208;48;401851;13909;28891404;Africa
138;Guyana;63107;0;1224;0;61684;0;199;5;79584;1544;548943;692272;792958;South America
139;Sudan;61655;12;4865;0;N/A;N/A;N/A;0;1353;107;562941;12352;45575877;Africa
140;New Caledonia;59217;184;305;1;55768;911;3144;24;204105;1051;98964;341102;290130;Australia/Oceania
141;Mauritania;58657;0;981;0;57650;2;26;30;12080;202;759231;156358;4855736;Africa
142;Belize;57034;31;652;0;55851;108;531;6;139174;1591;510065;1244653;409805;North America
143;Barbados;56805;126;323;0;55256;163;1226;0;197261;1122;596122;2070091;287969;North America
144;Channel Islands;56437;347;147;1;52513;309;3777;0;319633;833;1221372;6917290;176568;Europe
145;Cabo Verde;55906;0;401;0;55441;3;64;23;98743;708;400982;708226;566178;Africa
146;Syria;55288;45;3110;3;49151;173;3027;0;3035;171;146269;8029;18217587;Asia
147;Gabon;47564;0;303;0;47212;0;49;1;20552;131;1580654;682994;2314303;Africa
148;Papua New Guinea;41533;0;639;0;39905;0;989;7;4498;69;249149;26985;9232924;Australia/Oceania
149;Seychelles;39605;0;163;0;39212;0;230;0;398541;1640;0;0;99375;Africa
150;Curaçao;39459;326;265;1;38760;227;434;3;238818;1604;494095;2990419;165226;North America
151;Andorra;38794;0;152;0;37925;0;717;14;500736;1962;249838;3224798;77474;Europe
152;Burundi;38248;39;38;0;773;0;37437;0;3063;3;345742;27686;12487804;Africa
153;Togo;36848;5;272;0;36472;25;104;0;4282;32;700440;81390;8605946;Africa
154;Mayotte;36745;42;187;0;2964;0;33594;0;129423;659;176919;623141;283915;Africa
155;Guinea;36427;0;440;0;33000;0;2987;8;2652;32;660107;48066;13733414;Africa
156;Faeroe Islands;34237;0;28;0;7693;0;26516;5;696214;569;778000;15820726;49176;Europe
157;Mauritius;33856;360;934;30;30378;339;2544;0;26547;732;358675;281241;1275330;Africa
158;Aruba;33796;64;212;0;33522;60;62;4;314291;1972;177885;1654267;107531;North America
159;Tanzania;33726;0;800;0;N/A;N/A;N/A;7;539;13;0;0;62602749;Africa
160;Bahamas;33191;3;771;0;32098;11;322;9;83063;1929;223430;559154;399586;North America
161;Lesotho;32716;0;697;0;23461;0;8558;0;15070;321;407836;187864;2170912;Africa
162;Haiti;30438;5;827;0;26220;193;3391;0;2616;71;132422;11379;11637099;North America
163;Mali;30409;2;726;0;29564;3;119;0;1432;34;631808;29754;21234202;Africa
164;Benin;26575;0;163;0;25506;0;906;5;2099;13;604310;47739;12658627;Africa
165;Somalia;26400;0;1348;0;13182;0;11870;0;1586;81;400466;24065;16640810;Africa
166;Isle of Man;24346;177;81;0;23195;116;1070;0;283779;944;150753;1757192;85792;Europe
167;Congo;24049;8;378;0;20178;0;3493;0;4185;66;347815;60520;5747128;Africa
168;Saint Lucia;22833;11;364;0;22424;18;45;1;123392;1967;137657;743915;185044;North America
169;Timor-Leste;22786;2;129;0;22582;16;75;9;16744;95;252353;185444;1360806;Asia
170;Taiwan;21163;82;853;0;19084;73;1226;0;886;36;11995178;502110;23889540;Asia
171;Burkina Faso;20751;0;375;0;20309;0;67;0;949;17;248995;11385;21869695;Africa
172;Cayman Islands;19433;60;17;0;8553;0;10863;2;289941;254;222773;3323780;67024;North America
173;Nicaragua;18203;0;222;0;4225;0;13756;0;2694;33;0;0;6757560;North America
174;Tajikistan;17388;0;124;0;17263;0;1;0;1757;13;0;0;9898943;Asia
175;South Sudan;17051;7;138;0;13503;0;3410;1;1494;12;347087;30406;11415195;Africa
176;Bhutan;16666;389;7;0;12695;508;3964;3;21205;9;2032568;2586139;785947;Asia
177;Equatorial Guinea;15894;0;183;0;15670;0;41;5;10734;124;290997;196530;1480676;Africa
178;Gibraltar;15840;48;101;0;15413;59;326;10;470393;2999;521652;15491240;33674;Europe
179;Djibouti;15564;0;189;0;15359;0;16;0;15376;187;289377;285877;1012243;Africa
180;San Marino;14523;0;112;0;14198;0;213;4;426507;3289;138257;4060292;34051;Europe
181;CAR;14320;0;113;0;6859;0;7348;2;2880;23;81294;16352;4971436;Africa
182;Liechtenstein;13789;199;79;0;13103;208;607;4;359904;2062;80413;2098844;38313;Europe
183;Grenada;13690;0;216;0;13336;0;138;4;120720;1905;136411;1202887;113403;North America
184;Gambia;11963;0;365;0;11583;0;15;0;4726;144;153983;60836;2531135;Africa
185;Greenland;11856;7;20;0;2761;0;9075;4;208234;351;164926;2896691;56936;North America
186;Bermuda;11850;0;124;0;11502;0;224;0;191469;2004;815667;13179302;61890;North America
187;Yemen;11783;0;2139;0;8838;11;806;23;381;69;265253;8575;30933882;Asia
188;Dominica;11502;0;62;0;11127;0;313;0;159114;858;173397;2398697;72288;North America
189;Saint Martin;9912;0;63;0;1399;0;8450;7;249183;1584;112382;2825230;39778;North America
190;Monaco;9736;50;51;0;9456;21;229;4;245165;1284;54960;1383965;39712;Europe
191;Eritrea;9720;1;103;0;9616;3;1;0;2678;28;23693;6528;3629244;Africa
192;Sint Maarten;9599;0;85;0;9463;0;51;10;219672;1945;62056;1420143;43697;North America
193;Niger;8780;6;308;1;8460;6;12;1;342;12;233409;9088;25683313;Africa
194;Solomon Islands;8491;0;118;0;1860;0;6513;3;11871;165;5117;7154;715289;Australia/Oceania
195;Comoros;8060;3;160;0;7884;1;16;0;8947;178;0;0;900845;Africa
196;Guinea-Bissau;8050;0;168;0;7055;0;827;6;3934;82;125580;61365;2046443;Africa
197;Sierra Leone;7667;0;125;0;N/A;N/A;N/A;0;929;15;259958;31508;8250609;Africa
198;Caribbean Netherlands;7614;0;31;0;7547;0;36;0;285875;1164;30126;1131111;26634;North America
199;Antigua and Barbuda;7466;5;135;0;7317;12;14;1;75188;1360;18901;190346;99298;North America
200;Liberia;7392;0;294;0;5747;0;1351;2;1406;56;139824;26592;5258156;Africa
201;Chad;7258;0;190;0;4874;0;2194;0;421;11;191341;11111;17220507;Africa
202;St. Vincent Grenadines;6742;0;106;0;6634;0;2;0;60447;950;98236;880764;111535;North America
203;British Virgin Islands;6091;0;62;0;N/A;N/A;N/A;1;199241;2028;100749;3295574;30571;North America
204;Sao Tome and Principe;5934;0;72;0;5862;0;0;0;26254;319;29036;128464;226024;Africa
205;Turks and Caicos;5874;0;36;0;5808;0;30;4;148330;909;419792;10600540;39601;North America
206;Saint Kitts and Nevis;5538;0;42;0;5491;0;5;1;102872;780;65141;1210035;53834;North America
207;Palau;3899;7;6;0;3568;12;325;0;213761;329;37947;2080428;18240;Australia/Oceania
208;St. Barth;3780;0;6;0;N/A;N/A;N/A;0;380741;604;78646;7921636;9928;North America
209;Kiribati;3019;9;13;0;2407;9;599;9;24637;106;0;0;122541;Australia/Oceania
210;Anguilla;2574;0;9;0;2552;0;13;4;169020;591;51382;3373958;15229;North America
211;Tonga;1382;62;2;2;442;76;938;0;12830;19;44487;412999;107717;Australia/Oceania
212;Saint Pierre Miquelon;1316;60;1;0;1099;7;216;1;229029;174;17358;3020884;5746;North America
213;Diamond Princess;712;0;13;0;699;0;0;0;0;0;0;0;0;
214;Wallis and Futuna;454;0;7;0;438;0;9;0;41625;642;20508;1880260;10907;Australia/Oceania
215;Cook Islands;280;33;0;0;71;10;209;0;15917;0;2943;167301;17591;Australia/Oceania
216;Montserrat;166;0;2;0;162;0;2;0;33220;400;8359;1672804;4997;North America
217;Vanuatu;157;62;1;0;13;1;143;1;492;3;24976;78234;319249;Australia/Oceania
218;Falkland Islands;118;2;0;0;N/A;N/A;N/A;0;32320;0;8632;2364284;3651;South America
219;Macao;82;0;0;0;79;0;3;0;123;0;5318;8006;664271;Asia
220;Samoa;45;0;0;0;28;0;17;0;224;0;0;0;200639;Australia/Oceania
221;Vatican City;29;0;0;0;28;0;1;0;36070;0;0;0;804;Europe
222;Western Sahara;10;0;1;0;8;0;1;0;16;2;0;0;622105;Africa
223;MS Zaandam;9;0;2;0;7;0;0;0;0;0;0;0;0;
224;Marshall Islands;7;0;0;0;7;0;0;0;117;0;0;0;59864;Australia/Oceania
225;Saint Helena;2;0;0;0;2;0;0;0;327;0;0;0;6108;Africa
226;Micronesia;1;0;0;0;1;0;0;0;9;0;0;0;117058;Australia/Oceania
227;Niue;1;0;0;0;0;0;1;0;608;0;0;0;1645;Australia/Oceania
